Rank,Title,Language,Lexical,Semantic,Fuzzy,Final Score,Relevant
1,বাংলাদেশ ব্যাংকে ই–নথি চালু হলো,bangla,0.000,1.000,0.000,0.600,✗
2,নিট মুনাফা না হলে ব্যাংকের কর্মীরা উৎসাহ বোনাস পাবেন না,bangla,0.000,0.997,0.000,0.598,✗
3,How Should China and Bangladesh Conduct Economic Cooperation?,english,0.000,0.952,0.000,0.571,✗
4,বাঙালি জাতীয়তাবাদের অর্থনৈতিক ভিত গড়েছেন নুরুল ইসলাম,bangla,0.325,0.700,0.000,0.550,✓
5,সম্মিলিত ইসলামী ব্যাংকের গ্রাহকরা আগামী সপ্তাহ থেকে টাকা তুলতে পারবেন,bangla,0.000,0.906,0.000,0.544,✗
6,বাংলাদেশ যেন আবারও ফ্যাসিবাদের পরিচিতি না পায় : মঈন খান,bangla,0.000,0.896,0.000,0.538,✗
7,বৈদেশিক বিনিয়োগ নিয়ে বাইনারি চিন্তা-ভাবনার বিপদ,bangla,0.233,0.724,0.000,0.527,✗
8,"ভূমিকম্পর সতর্কতা হিসেবে নেওয়া যেতে পারে বিমা, কমবে ক্ষতি",bangla,0.000,0.869,0.000,0.522,✗
9,বৈষম্যের অর্থনীতি সামনে এনেছিলেন রেহমান সোবহান,bangla,0.196,0.730,0.000,0.516,✗
10,প্রবাসী আয়ে বড় চমক কৃষি ব্যাংকের,bangla,0.000,0.833,0.000,0.500,✗
