Rank,Title,Language,Lexical,Semantic,Fuzzy,Final Score,Relevant
1,"দিল্লিতে ফের চরম বায়ুদূষণ: বাতিল ৪০টি ফ্লাইট, বিলম্ব শতাধিক",bangla,0.324,1.000,0.000,0.665,✗
2,‘Unhealthy’ air quality persists in Dhaka,english,0.207,0.905,0.000,0.584,✓
3,‘Unhealthy’ air quality persists in Dhaka,english,0.182,0.905,0.000,0.580,✗
4,Dhaka’s air quality second worst globally Tuesday,english,0.012,0.958,0.000,0.577,✗
5,Dhaka’s ‘very unhealthy’ air quality persists,english,0.082,0.871,0.000,0.539,✗
6,Dhaka choked by ‘unhealthy’ air; ranks 10th worst globally,english,0.000,0.895,0.000,0.537,✗
7,‘Unhealthy’ air quality persists in Dhaka,english,0.193,0.825,0.000,0.534,✗
8,‘Unhealthy’ air quality persists in Dhaka,english,0.184,0.827,0.000,0.533,✓
9,Unreliable data masks severity of India’s air pollution crisis,english,0.373,0.389,1.000,0.508,✗
10,Dhaka becomes 3rd most polluted city with AQI score of 228,english,0.000,0.833,0.000,0.500,✗
